Food,Type,GI,Sugar_g,Iron_mg,Sodium_mg,Cholesterol_mg,Fiber_g,Fat_g,Protein_g,Calories,Age,Label,Disease
Tofu,Veg,30,7.8,0.5,370,25,10.9,0.4,6.2,546,65,Avoid,Anemia
Banana,Veg,43,0.7,5.3,417,89,9.2,24.8,7.5,472,22,Recommended,Tonsillitis
Tofu,Veg,87,8.7,7.5,287,103,6.1,12.2,20.1,501,57,Recommended,Asthma
Banana,Veg,26,0.3,8.1,222,91,10.2,13.0,7.1,249,31,Recommended,Bronchitis
Ginger,Veg,70,13.2,2.4,308,35,10.2,2.7,17.3,140,15,Avoid,Diabetes
Spinach,Veg,50,18.9,3.4,160,99,0.5,16.7,6.9,258,22,Avoid,Obesity
Chips,Veg,71,10.3,2.7,134,21,8.9,8.7,14.9,532,73,Avoid,Cholesterol
Mushroom,Veg,51,1.7,6.9,451,23,1.0,6.8,1.5,342,62,Recommended,Tonsillitis
Fish,Non-Veg,61,12.4,2.9,358,18,6.6,4.9,14.1,486,67,Recommended,Renal Stone
Garlic,Veg,27,14.4,0.3,419,134,8.6,10.5,18.3,549,22,Recommended,Asthma
Orange,Veg,87,15.4,3.3,44,76,3.1,17.9,3.6,546,77,Avoid,Obesity
Lentils,Veg,80,5.0,6.1,134,131,6.2,1.3,23.7,320,75,Recommended,Asthma
Cabbage,Veg,49,7.3,6.5,366,59,4.6,12.3,23.7,538,47,Avoid,Cholesterol
Onion,Veg,44,1.3,1.9,442,138,2.7,10.0,6.2,145,49,Recommended,Bronchitis
Chips,Veg,28,9.1,7.5,454,6,9.6,9.3,5.5,121,62,Recommended,Anemia
Quinoa,Veg,64,4.7,4.3,85,91,5.5,3.7,5.5,483,29,Recommended,Asthma
Cheese,Veg,48,8.7,9.2,16,12,3.8,24.1,6.4,267,38,Recommended,Diabetes
Milk,Veg,54,1.3,2.1,263,137,11.4,24.1,8.3,426,80,Avoid,Asthma
Lentils,Veg,34,8.6,8.4,74,6,3.3,8.5,4.4,422,27,Recommended,Asthma
Berries,Veg,80,17.5,4.6,443,4,7.1,15.0,11.2,120,43,Avoid,Obesity
Honey,Veg,68,19.6,5.1,464,124,3.0,18.4,22.1,342,32,Avoid,Diabetes
Almonds,Veg,29,17.4,9.8,215,141,2.5,24.9,19.5,151,36,Recommended,Asthma
Berries,Veg,65,17.9,9.7,262,19,4.8,15.6,24.4,422,32,Recommended,Bronchitis
Ginger,Veg,70,5.5,8.6,466,68,3.9,13.2,1.6,248,50,Avoid,Obesity
Cabbage,Veg,81,1.4,8.0,445,30,5.6,12.8,12.3,173,71,Recommended,Anemia
Sweet Potato,Veg,72,6.2,3.5,306,131,4.1,14.1,1.2,202,37,Recommended,Renal Stone
Tomato,Veg,45,4.5,3.4,53,34,11.2,7.1,8.0,50,58,Recommended,Tonsillitis
Ginger,Veg,23,8.3,8.4,174,125,2.0,24.2,22.0,65,77,Avoid,Obesity
Butter,Veg,74,8.6,2.0,377,30,1.5,4.5,4.4,214,30,Avoid,Cholesterol
Coffee,Veg,44,1.6,6.1,191,6,6.8,23.4,1.4,421,47,Recommended,Asthma
Beetroot,Veg,20,11.2,6.8,49,35,5.3,17.1,23.0,272,47,Avoid,Cholesterol
White Bread,Veg,70,19.5,0.4,230,135,11.2,14.9,12.3,158,58,Avoid,Anemia
Eggs,Non-Veg,70,2.7,1.7,231,62,2.6,7.8,0.9,146,69,Recommended,Tonsillitis
Pizza,Veg,89,1.1,4.0,448,62,8.3,11.1,11.2,465,21,Recommended,Renal Stone
Coffee,Veg,66,5.8,2.4,137,3,6.6,15.3,22.4,89,51,Recommended,Asthma
Mushroom,Veg,75,2.2,8.9,379,96,7.0,10.2,11.2,593,45,Avoid,Cholesterol
Soy Milk,Veg,68,3.9,2.6,276,117,1.5,2.0,5.4,564,64,Avoid,Diabetes
Fish,Non-Veg,21,2.7,3.2,341,80,0.5,4.4,13.4,391,47,Recommended,Tonsillitis
Fruit Juice,Veg,42,6.6,8.6,417,79,11.7,21.2,11.6,150,70,Recommended,Anemia
Milk,Veg,33,5.9,6.4,106,92,3.4,2.6,16.3,248,28,Recommended,Bronchitis
Quinoa,Veg,81,1.0,8.0,194,125,0.6,5.5,6.6,107,37,Recommended,Tonsillitis
Lentils,Veg,69,17.2,4.4,246,14,0.2,21.9,10.5,162,24,Recommended,Tonsillitis
Orange,Veg,66,19.6,6.9,296,107,7.2,1.2,3.9,449,11,Avoid,Obesity
Tofu,Veg,33,9.2,7.2,391,148,4.1,22.1,24.8,56,12,Recommended,Bronchitis
White Bread,Veg,62,11.0,5.5,323,104,4.6,4.2,1.1,567,65,Recommended,Tonsillitis
Quinoa,Veg,85,11.3,2.5,283,108,6.9,1.4,19.4,482,60,Avoid,Cholesterol
Soy Milk,Veg,26,14.4,6.4,361,15,1.6,24.3,9.3,294,52,Recommended,Bronchitis
Chicken Breast,Non-Veg,78,11.3,2.9,157,120,8.3,4.7,20.3,185,24,Avoid,Cholesterol
Yogurt,Veg,62,5.7,5.5,130,104,2.3,17.0,9.6,141,41,Recommended,Renal Stone
Eggs,Non-Veg,72,10.8,4.7,315,27,0.8,21.5,12.3,359,45,Avoid,Hypertension
Quinoa,Veg,74,15.5,0.9,464,129,6.6,1.5,11.6,204,64,Recommended,Asthma
Lentils,Veg,43,7.3,8.2,135,21,4.8,10.7,7.1,551,65,Avoid,Obesity
Chips,Veg,86,6.2,2.6,296,93,0.4,10.7,17.1,250,43,Recommended,Bronchitis
White Bread,Veg,89,1.1,2.4,60,120,4.3,24.4,18.7,558,56,Avoid,Obesity
Eggs,Non-Veg,90,17.3,3.2,483,25,10.6,8.4,14.0,164,79,Recommended,Bronchitis
Beetroot,Veg,39,16.8,2.7,278,86,5.8,15.9,23.4,523,27,Avoid,Hypertension
Pasta,Veg,79,6.8,6.0,262,123,3.1,11.5,1.8,280,80,Recommended,Renal Stone
Coffee,Veg,79,8.9,5.8,106,105,1.3,6.1,18.7,77,46,Recommended,Hypertension
Milk,Veg,23,2.4,8.6,317,7,7.5,18.6,18.3,525,56,Recommended,Bronchitis
Oats,Veg,72,13.0,2.4,343,56,3.5,16.9,4.2,268,15,Recommended,Tonsillitis
White Bread,Veg,78,16.9,9.5,55,42,9.9,4.3,5.6,276,20,Recommended,Cholesterol
Ginger,Veg,65,9.2,4.2,7,144,1.3,13.5,13.6,198,75,Recommended,Renal Stone
Fish,Non-Veg,82,1.7,1.7,424,95,8.1,23.1,1.0,527,68,Recommended,Asthma
Sweet Potato,Veg,80,10.9,9.4,225,146,6.0,23.6,1.3,156,67,Recommended,Anemia
Onion,Veg,27,6.2,9.6,173,29,1.0,7.1,5.4,541,16,Recommended,Asthma
Sweet Potato,Veg,43,15.2,5.9,144,36,5.2,21.9,13.5,110,45,Avoid,Obesity
Soy Milk,Veg,53,14.9,5.5,331,39,11.7,24.9,21.5,533,18,Avoid,Obesity
Burger,Veg,63,19.9,3.2,194,9,4.1,11.7,5.9,510,61,Recommended,Tonsillitis
Lentils,Veg,78,6.6,0.4,208,58,3.1,19.3,14.3,576,54,Recommended,Anemia
Brown Rice,Veg,55,2.8,3.4,400,13,2.6,9.6,1.6,566,73,Recommended,Tonsillitis
Fruit Juice,Veg,79,19.6,7.2,167,112,10.6,19.0,9.2,479,22,Avoid,Cholesterol
Fish,Non-Veg,76,14.9,7.4,431,75,1.7,24.5,3.1,306,44,Avoid,Cholesterol
Yogurt,Veg,52,7.8,5.3,495,45,5.0,23.1,20.8,67,32,Avoid,Hypertension
Cabbage,Veg,53,9.0,2.8,34,20,6.6,20.8,9.8,586,28,Recommended,Hypertension
Pizza,Veg,82,0.7,1.7,165,150,1.0,23.9,14.0,539,65,Avoid,Bronchitis
Banana,Veg,81,1.6,0.6,28,53,11.3,13.0,7.1,434,57,Avoid,Anemia
Cheese,Veg,26,4.5,6.8,319,65,4.5,12.2,3.3,87,68,Recommended,Bronchitis
Olive Oil,Veg,38,9.3,7.6,181,85,0.3,16.6,14.6,59,57,Avoid,Cholesterol
Pizza,Veg,43,3.5,0.7,382,63,5.1,0.6,17.7,459,23,Avoid,Bronchitis
Potato,Veg,90,0.7,4.8,141,12,11.7,21.5,6.5,287,32,Recommended,Bronchitis
Ice Cream,Veg,61,18.1,5.1,174,78,5.8,6.4,24.1,128,67,Recommended,Renal Stone
Burger,Veg,79,6.5,4.2,158,93,3.3,18.8,19.2,571,61,Avoid,Obesity
Cheese,Veg,43,13.3,7.4,25,108,6.2,12.0,13.0,151,14,Avoid,Obesity
Garlic,Veg,88,15.2,8.1,44,7,2.5,22.8,18.0,161,72,Avoid,Cholesterol
Salt,Veg,35,17.4,0.6,233,84,8.2,19.6,3.0,311,69,Avoid,Hypertension
Banana,Veg,51,2.1,1.8,107,133,8.8,20.8,5.6,584,30,Recommended,Tonsillitis
Honey,Veg,59,7.0,4.5,307,94,4.3,4.3,15.4,354,24,Recommended,Asthma
Broccoli,Veg,27,8.6,3.1,198,119,1.6,11.4,20.1,268,23,Avoid,Cholesterol
Spinach,Veg,87,10.1,1.3,205,108,5.8,13.4,5.0,414,12,Avoid,Hypertension
Yogurt,Veg,65,16.7,3.6,498,86,9.4,20.1,23.7,473,44,Recommended,Tonsillitis
Garlic,Veg,36,4.5,7.9,483,71,9.3,1.4,22.7,295,23,Avoid,Cholesterol
Orange,Veg,77,1.4,3.0,24,77,1.0,17.1,5.9,53,66,Avoid,Obesity
Cabbage,Veg,38,12.4,5.0,448,63,5.8,24.8,9.7,175,22,Recommended,Tonsillitis
Onion,Veg,80,1.3,5.0,477,46,1.3,22.2,11.9,331,33,Avoid,Diabetes
Lentils,Veg,70,13.0,0.6,377,135,6.3,22.0,22.8,388,14,Avoid,Diabetes
Berries,Veg,49,5.7,7.2,160,54,10.9,6.3,16.1,233,19,Recommended,Hypertension
Tea,Veg,80,17.9,5.4,398,148,7.2,16.8,10.5,305,20,Recommended,Anemia
Mushroom,Veg,24,19.7,9.6,430,114,2.6,10.4,3.8,365,57,Recommended,Tonsillitis
Sweet Potato,Veg,24,1.8,3.9,381,120,11.9,23.8,8.4,95,14,Recommended,Bronchitis
Cabbage,Veg,22,15.5,6.0,320,119,10.7,3.4,16.2,554,43,Recommended,Tonsillitis
Yogurt,Veg,46,6.4,5.7,11,0,7.7,4.6,14.2,127,72,Recommended,Cholesterol
Cheese,Veg,24,8.6,2.3,296,24,8.4,13.7,10.9,164,67,Avoid,Obesity
Ginger,Veg,31,4.4,6.4,345,73,9.4,24.9,11.7,478,79,Recommended,Anemia
Berries,Veg,35,6.7,4.2,95,93,6.3,3.2,19.0,327,12,Recommended,Asthma
Tomato,Veg,86,3.1,9.3,202,124,11.6,15.3,9.7,204,54,Recommended,Anemia
Mushroom,Veg,53,2.1,3.2,237,99,1.6,10.5,2.3,334,51,Avoid,Obesity
Butter,Veg,41,6.4,6.0,273,76,3.0,13.6,13.7,249,40,Avoid,Obesity
Chicken Breast,Non-Veg,56,6.6,9.6,177,1,9.4,0.6,14.3,358,53,Avoid,Obesity
Cheese,Veg,51,9.5,1.8,341,107,9.1,5.8,3.7,65,78,Recommended,Tonsillitis
Dark Chocolate,Veg,79,16.0,8.1,268,57,3.6,23.5,13.4,350,11,Recommended,Renal Stone
Tofu,Veg,38,5.1,0.5,128,83,2.8,6.5,12.9,583,36,Recommended,Hypertension
Burger,Veg,85,13.7,9.6,287,147,5.9,20.7,17.1,465,11,Avoid,Bronchitis
Honey,Veg,50,0.7,1.1,314,140,10.0,1.3,1.4,61,50,Recommended,Bronchitis
Cabbage,Veg,75,0.6,8.1,422,84,2.2,3.9,4.9,404,37,Avoid,Diabetes
Garlic,Veg,76,11.5,1.1,339,118,9.5,17.8,20.3,460,21,Avoid,Cholesterol
Honey,Veg,65,19.3,3.9,470,44,0.2,15.0,7.9,508,43,Recommended,Renal Stone
Brown Rice,Veg,23,5.7,9.6,67,108,2.5,7.9,17.4,313,15,Recommended,Bronchitis
Sweet Potato,Veg,44,13.2,8.5,201,19,2.2,10.3,2.1,99,26,Avoid,Diabetes
Mushroom,Veg,51,14.1,6.2,177,12,8.8,2.1,10.7,304,29,Recommended,Renal Stone
Oats,Veg,47,15.1,5.0,447,141,5.1,10.7,0.8,303,12,Avoid,Cholesterol
Sugar,Veg,46,9.5,5.4,126,143,1.6,14.5,5.6,540,29,Avoid,Diabetes
Garlic,Veg,55,18.3,2.2,299,47,10.7,0.2,18.4,272,42,Avoid,Hypertension
Potato,Veg,75,12.5,3.5,281,91,8.3,3.1,19.9,443,17,Recommended,Bronchitis
Soy Milk,Veg,85,7.7,2.1,360,98,5.8,10.7,4.2,330,42,Recommended,Tonsillitis
Honey,Veg,85,6.9,6.7,81,17,6.7,15.4,14.6,512,13,Recommended,Bronchitis
Soda,Veg,22,15.8,0.5,335,50,5.7,11.9,19.2,331,77,Recommended,Renal Stone
Yogurt,Veg,58,14.9,9.1,40,13,1.6,4.7,23.5,311,43,Recommended,Hypertension
Brown Rice,Veg,27,1.9,7.1,121,17,10.9,5.8,16.9,563,29,Recommended,Renal Stone
Ice Cream,Veg,47,14.6,0.9,207,62,5.5,12.6,6.5,201,41,Avoid,Anemia
Banana,Veg,50,9.6,1.6,212,44,0.7,18.7,5.4,584,65,Recommended,Tonsillitis
Brown Rice,Veg,35,18.3,5.6,317,96,11.3,15.1,7.1,520,33,Recommended,Bronchitis
Lentils,Veg,54,10.9,8.1,269,11,8.4,19.8,5.8,195,58,Recommended,Asthma
Spinach,Veg,32,8.8,9.8,18,47,1.1,20.9,14.2,71,76,Avoid,Cholesterol
Olive Oil,Veg,69,11.6,2.1,80,145,3.7,19.2,6.8,319,79,Recommended,Bronchitis
Apple,Veg,44,3.1,8.2,381,71,6.0,19.7,15.6,102,22,Recommended,Bronchitis
Butter,Veg,82,16.4,7.9,111,22,10.1,5.9,1.5,130,27,Avoid,Diabetes
Peanuts,Veg,86,18.8,1.3,419,9,3.7,8.9,9.2,55,51,Avoid,Renal Stone
Salt,Veg,43,1.1,5.0,101,148,5.2,19.7,1.7,314,43,Recommended,Renal Stone
Honey,Veg,39,6.7,1.4,188,42,4.1,13.0,23.0,306,58,Avoid,Obesity
Pasta,Veg,76,1.4,4.4,392,26,7.6,8.4,25.0,228,33,Recommended,Renal Stone
Berries,Veg,89,17.3,5.5,435,23,5.7,20.1,19.3,355,38,Recommended,Renal Stone
Pasta,Veg,45,11.6,9.1,311,147,8.6,3.1,1.6,79,78,Recommended,Renal Stone
Cheese,Veg,52,17.4,1.8,176,27,7.3,24.1,9.7,420,51,Recommended,Hypertension
Fruit Juice,Veg,53,0.6,8.4,355,124,8.7,23.8,20.3,408,41,Avoid,Obesity
Walnuts,Veg,25,18.3,0.4,86,92,2.4,15.0,19.9,350,43,Recommended,Bronchitis
Garlic,Veg,20,5.8,9.1,260,102,4.2,21.9,15.9,311,16,Recommended,Asthma
Broccoli,Veg,35,10.0,4.3,80,116,0.6,8.2,9.5,370,47,Avoid,Cholesterol
Lentils,Veg,38,13.9,8.4,423,44,10.2,15.7,8.7,287,16,Recommended,Renal Stone
Tea,Veg,38,18.8,4.7,178,84,6.2,7.0,19.3,510,31,Avoid,Obesity
Brown Rice,Veg,20,4.8,3.2,473,118,6.2,9.6,10.2,246,62,Recommended,Anemia
Chips,Veg,49,18.3,9.6,432,102,7.4,18.0,17.9,326,70,Recommended,Asthma
Onion,Veg,51,10.1,3.4,386,54,0.2,15.2,11.2,275,65,Recommended,Tonsillitis
Quinoa,Veg,21,4.7,3.7,460,21,1.6,0.7,7.6,394,29,Recommended,Renal Stone
Olive Oil,Veg,53,16.1,5.4,397,50,5.0,14.8,18.5,218,73,Avoid,Diabetes
Pizza,Veg,45,12.6,7.4,336,7,6.5,8.2,14.7,142,46,Avoid,Diabetes
Burger,Veg,29,6.4,3.5,85,40,11.0,17.3,18.7,529,48,Recommended,Anemia
Cucumber,Veg,67,15.8,8.2,376,73,10.9,13.5,4.4,296,53,Avoid,Cholesterol
Soy Milk,Veg,22,7.1,8.0,48,88,9.2,19.3,11.9,363,24,Recommended,Hypertension
Spinach,Veg,76,15.1,3.2,154,89,11.7,1.5,2.5,448,13,Avoid,Obesity
Butter,Veg,48,5.3,0.6,259,105,11.5,23.1,20.9,243,12,Avoid,Hypertension
Fruit Juice,Veg,45,15.9,7.8,194,60,5.9,3.1,24.9,318,65,Recommended,Bronchitis
Fruit Juice,Veg,40,15.3,4.4,15,14,4.5,0.7,1.7,251,24,Recommended,Anemia
Fish,Non-Veg,23,5.0,6.3,128,149,1.7,22.8,14.7,400,37,Avoid,Obesity
Milk,Veg,33,15.0,3.9,235,79,10.3,7.6,3.0,330,74,Avoid,Hypertension
Sugar,Veg,36,19.4,8.7,312,33,9.2,8.8,16.0,59,60,Recommended,Asthma
Potato,Veg,24,15.0,1.6,372,132,8.7,9.6,23.8,393,29,Recommended,Bronchitis
Yogurt,Veg,39,15.4,8.1,177,54,8.6,4.0,20.5,506,27,Avoid,Obesity
Orange,Veg,64,19.5,5.3,399,110,2.7,13.8,16.2,418,43,Avoid,Obesity
Salt,Veg,48,1.6,2.5,47,101,3.8,6.6,6.0,227,75,Recommended,Renal Stone
Honey,Veg,21,7.8,1.4,19,142,3.0,16.8,21.0,93,79,Recommended,Hypertension
Potato,Veg,72,15.2,1.1,143,40,2.3,6.7,14.4,449,52,Recommended,Hypertension
Garlic,Veg,46,13.8,5.6,338,102,3.2,11.0,19.4,369,68,Avoid,Hypertension
Red Meat,Non-Veg,84,1.2,2.2,112,97,4.5,8.7,2.8,320,36,Recommended,Hypertension
Green Tea,Veg,60,0.8,1.3,36,103,7.2,2.4,22.7,176,56,Recommended,Obesity
Cheese,Veg,58,6.1,0.3,325,114,4.1,12.6,8.5,211,27,Avoid,Anemia
Ginger,Veg,89,8.1,6.3,129,94,7.2,14.9,11.0,187,25,Avoid,Cholesterol
Sweet Potato,Veg,58,1.9,3.3,361,47,4.6,20.5,24.6,358,38,Avoid,Obesity
Walnuts,Veg,77,9.4,5.8,230,130,8.8,23.1,1.2,165,44,Avoid,Obesity
Cheese,Veg,53,8.2,8.5,296,62,8.7,10.4,17.1,571,36,Avoid,Cholesterol
Tomato,Veg,36,4.8,4.6,176,18,6.7,24.4,9.8,539,13,Recommended,Tonsillitis
Chips,Veg,20,10.4,5.1,419,143,10.4,10.8,5.7,253,65,Recommended,Anemia
Sweet Potato,Veg,45,6.2,2.1,424,68,2.3,13.8,4.7,87,19,Recommended,Asthma
Cabbage,Veg,58,14.1,9.3,47,128,4.1,1.5,17.2,58,61,Recommended,Asthma
Salt,Veg,51,9.0,5.3,351,53,1.6,20.9,1.4,175,53,Recommended,Bronchitis
Olive Oil,Veg,22,14.1,3.2,237,6,7.6,15.0,10.9,569,38,Avoid,Hypertension
Chips,Veg,24,13.1,4.8,261,11,4.5,4.4,22.5,554,18,Recommended,Asthma
Chips,Veg,64,4.3,3.1,455,114,2.6,5.8,9.6,468,18,Avoid,Obesity
Green Tea,Veg,88,9.7,9.4,150,101,10.3,13.3,21.5,162,66,Recommended,Diabetes
Tea,Veg,25,5.5,3.3,23,87,6.3,1.3,12.7,374,69,Avoid,Cholesterol
Fruit Juice,Veg,54,1.4,3.1,348,49,2.2,1.2,23.7,94,37,Recommended,Cholesterol
Sugar,Veg,84,15.5,6.6,247,130,1.0,5.7,19.5,301,24,Recommended,Bronchitis
Milk,Veg,63,10.5,8.6,42,35,0.7,6.4,2.3,81,19,Recommended,Renal Stone
Brown Rice,Veg,59,4.5,7.5,88,11,10.7,18.0,15.0,137,48,Recommended,Hypertension
Beetroot,Veg,49,18.2,0.4,420,57,5.9,4.9,22.4,366,35,Recommended,Asthma
Chicken Breast,Non-Veg,23,15.3,9.2,236,33,4.1,18.8,21.9,221,78,Avoid,Obesity
Ice Cream,Veg,62,10.2,5.4,464,18,9.4,5.3,17.7,124,40,Avoid,Obesity
Apple,Veg,80,2.7,4.5,297,136,1.0,23.7,0.5,130,67,Recommended,Bronchitis
Cucumber,Veg,76,6.6,2.6,221,56,5.2,17.8,11.2,401,45,Avoid,Cholesterol
Pizza,Veg,26,7.1,6.4,293,62,5.4,17.8,15.1,62,41,Avoid,Obesity
Olive Oil,Veg,31,4.9,5.6,53,49,10.6,1.7,8.5,474,71,Recommended,Tonsillitis
Burger,Veg,90,1.9,0.9,103,125,0.9,17.6,4.6,489,36,Avoid,Anemia
Green Tea,Veg,46,11.1,10.0,21,30,5.9,6.2,24.7,521,24,Recommended,Anemia
Fish,Non-Veg,51,16.4,4.9,30,123,9.8,21.1,4.8,161,70,Recommended,Tonsillitis
Cabbage,Veg,51,14.2,9.8,183,22,3.9,2.2,17.5,543,61,Recommended,Tonsillitis
Walnuts,Veg,34,17.6,8.4,247,122,3.5,15.3,11.4,533,80,Avoid,Cholesterol
Apple,Veg,35,10.2,0.5,440,99,8.8,20.7,7.8,514,65,Recommended,Bronchitis
Honey,Veg,45,8.1,5.7,353,144,7.2,5.9,19.3,418,24,Recommended,Renal Stone
Tomato,Veg,28,16.7,0.9,89,71,11.8,6.7,6.7,579,45,Avoid,Anemia
Red Meat,Non-Veg,70,11.4,4.3,452,34,2.3,23.5,7.9,479,13,Recommended,Tonsillitis
Broccoli,Veg,40,2.7,7.8,299,120,5.1,22.5,10.1,400,79,Avoid,Hypertension
Butter,Veg,39,17.3,1.4,397,12,1.5,18.9,14.7,538,33,Recommended,Asthma
Spinach,Veg,52,18.7,6.3,171,58,9.4,22.2,11.5,362,44,Recommended,Anemia
Sugar,Veg,66,8.0,1.9,228,69,6.0,9.8,7.8,373,29,Avoid,Hypertension
Beetroot,Veg,20,5.6,8.1,392,113,0.7,8.4,11.2,231,54,Recommended,Bronchitis
Peanuts,Veg,56,3.4,8.5,96,67,1.5,18.7,9.4,506,46,Recommended,Bronchitis
Chicken Breast,Non-Veg,65,1.1,2.7,451,110,5.8,15.5,23.7,397,25,Recommended,Renal Stone
Orange,Veg,60,8.8,9.6,70,57,6.9,18.8,21.6,455,78,Recommended,Renal Stone
White Bread,Veg,23,5.1,5.5,282,40,0.7,12.3,8.7,412,31,Avoid,Hypertension
Yogurt,Veg,90,13.1,1.8,305,80,3.3,4.6,10.9,222,30,Avoid,Cholesterol
Tofu,Veg,43,5.4,7.1,73,129,9.5,19.6,24.7,162,52,Recommended,Renal Stone
Tea,Veg,40,18.9,7.6,475,104,5.6,20.6,19.8,200,21,Recommended,Renal Stone
Almonds,Veg,89,8.1,3.5,414,130,1.8,25.0,16.5,188,50,Recommended,Bronchitis
Honey,Veg,32,17.2,3.5,68,115,9.1,20.0,11.9,327,35,Recommended,Bronchitis
Almonds,Veg,87,10.4,7.5,435,131,5.4,0.1,12.9,233,77,Avoid,Hypertension
Eggs,Non-Veg,57,1.5,5.9,331,147,4.6,3.8,0.1,290,20,Recommended,Tonsillitis
Honey,Veg,57,15.5,4.3,8,3,7.7,1.9,15.7,236,27,Avoid,Obesity
Dark Chocolate,Veg,40,16.1,4.4,186,136,0.7,10.1,6.6,81,64,Avoid,Obesity
Fish,Non-Veg,30,9.2,2.6,275,95,0.8,0.4,15.6,51,76,Avoid,Anemia
Sweet Potato,Veg,67,19.7,7.8,484,49,0.7,14.9,1.0,527,48,Recommended,Anemia
Peanuts,Veg,73,13.5,9.4,121,100,3.2,23.9,21.0,574,45,Avoid,Diabetes
Pasta,Veg,73,10.9,7.9,462,86,3.6,22.5,10.0,146,66,Recommended,Asthma
Cucumber,Veg,28,5.6,1.0,64,4,3.0,12.4,15.2,156,43,Recommended,Hypertension
Burger,Veg,51,2.2,0.6,59,30,7.6,23.5,22.0,368,20,Avoid,Anemia
Ginger,Veg,34,3.9,5.8,82,58,8.7,6.5,21.9,274,37,Recommended,Bronchitis
Cucumber,Veg,22,6.4,9.4,438,91,7.7,6.7,10.5,153,41,Avoid,Cholesterol
Banana,Veg,65,11.9,0.0,245,133,6.3,18.4,24.5,481,23,Recommended,Renal Stone
Soda,Veg,50,16.9,0.1,397,38,0.2,12.3,22.1,438,59,Avoid,Hypertension
Milk,Veg,51,2.6,7.3,152,101,5.2,0.6,10.3,66,15,Recommended,Anemia
Coffee,Veg,50,16.1,6.5,39,127,1.2,13.5,1.2,538,45,Recommended,Renal Stone
Cucumber,Veg,71,20.0,6.4,461,22,4.2,0.5,24.1,336,55,Avoid,Obesity
Brown Rice,Veg,88,16.3,1.4,248,91,2.9,14.5,22.4,456,22,Recommended,Asthma
Chips,Veg,84,0.1,6.7,229,96,1.6,8.5,23.0,381,29,Avoid,Hypertension
Orange,Veg,80,19.8,2.1,28,121,1.1,16.2,15.1,359,47,Recommended,Tonsillitis
Honey,Veg,57,19.4,6.1,228,123,5.9,1.3,10.0,332,35,Recommended,Tonsillitis
Tofu,Veg,54,15.8,7.5,266,137,1.5,17.4,8.9,574,54,Recommended,Tonsillitis
Banana,Veg,39,14.1,6.4,399,78,9.6,17.3,1.8,406,29,Avoid,Hypertension
Ice Cream,Veg,49,1.6,2.6,406,120,4.8,4.3,6.6,137,72,Recommended,Obesity
Broccoli,Veg,30,18.4,2.1,18,83,5.9,18.6,18.0,120,32,Recommended,Hypertension
Onion,Veg,62,18.8,4.0,52,132,2.5,3.3,8.7,195,21,Recommended,Asthma
Yogurt,Veg,89,14.8,7.6,226,14,6.7,14.9,7.8,340,38,Avoid,Cholesterol
Burger,Veg,25,5.4,8.8,432,124,6.3,3.3,17.9,427,24,Avoid,Cholesterol
Coffee,Veg,64,5.7,1.5,448,43,3.9,13.9,0.6,290,73,Recommended,Bronchitis
Soy Milk,Veg,37,3.9,4.6,170,114,11.5,14.3,4.1,593,43,Recommended,Asthma
Brown Rice,Veg,35,20.0,5.9,412,138,3.0,16.8,18.7,92,70,Avoid,Hypertension
